id_instrumento,id_emisor,id_tipo_inversion,codigo_titulo,nombre,fecha_emision,fecha_vencimiento,tasa_referencial,rendimiento_nominal,codigo_seb,codigo_bce,fechas_recuperacion,vector_precio,activo,fecha_creacion,fecha_actualizacion,codigo_titulo_vector,match_status
30,139,4,INV_4_20300524,2023-05-24 BONOS DEL ESTADO 2030-05-24,2023-05-24,2030-05-24,5.64,,,,,0.894245847186094,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100201300524,matched_2d
31,135,2,INV_2_20200902,2020-03-20 SURPAPEL 2020-09-02,2020-03-20,2020-09-02,9.0,9.0,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
32,137,2,INV_2_20201028,2020-07-07 REPAPERS RECICLAJE DEL ECUADOR SA 2020-10-28,2020-07-07,2020-10-28,8.09,8.09,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
33,136,5,INV_5_20240113,PRODUCTORA CARTONERA S.A. 2024-01-13 2024-01-13,,2024-01-13,8.0,,,,,,1,2026-03-30 02:40:24,2026-03-30 02:40:24,,no_match_or_ambiguous
34,147,5,INV_5_20260622,FUROIANI 2026-06-22 2026-06-22,,2026-06-22,8.0,,,,,,1,2026-03-30 02:40:24,2026-03-30 02:40:24,,no_match_or_ambiguous
35,136,2,INV_2_20201022,2020-06-02 PRODUCTORA CARTONERA S.A. 2020-10-22,2020-06-02,2020-10-22,9.01,9.01,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
36,139,4,INV_4_20291228,2022-12-28 BONOS DEL ESTADO 2029-12-28,2022-12-28,2029-12-28,5.64,,,,,0.918139378941372,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100202291228,matched_2d
37,136,2,INV_2_20201213,2020-07-03 PRODUCTORA CARTONERA S.A. 2020-12-13,2020-07-03,2020-12-13,8.45,8.45,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
38,139,4,INV_4_20311202,2024-12-02 BONOS DEL ESTADO 2031-12-02,2024-12-02,2031-12-02,5.64,,,,,0.843136217433605,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100401311202,matched_2d
39,139,4,INV_4_20261018,2023-10-18 BONOS DEL ESTADO 2026-10-18,2023-10-18,2026-10-18,4.3,,,,,,1,2026-03-30 02:40:24,2026-03-30 02:40:24,,no_match_or_ambiguous
40,139,4,INV_4_20201201,2013-12-01 BONOS DEL ESTADO 2020-12-01,2013-12-01,2020-12-01,5.64,,,,,,1,2026-03-30 02:40:24,2026-03-30 02:40:24,,no_match_or_ambiguous
41,137,2,INV_2_20201028,2020-07-06 REPAPERS RECICLAJE DEL ECUADOR SA 2020-10-28,2020-07-06,2020-10-28,8.09,8.09,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
42,130,2,INV_2_20210613,2020-12-29 CARTIMEX S. A. 2021-06-13,2020-12-29,2021-06-13,9.06,9.06,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
43,139,4,INV_4_20320905,2025-09-05 BONOS DEL ESTADO 2032-09-05,2025-09-05,2032-09-05,7.54,,,,,0.898960747659639,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100101320905,matched_2d
44,131,2,INV_2_20200705,2020-02-20 VECTORQUIM CÍA. LTDA. 2020-07-05,2020-02-20,2020-07-05,9.16,9.16,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
45,139,4,INV_4_20250524,2023-05-24 BONOS DEL ESTADO 2025-05-24,2023-05-24,2025-05-24,3.82,,,,,,1,2026-03-30 02:40:24,2026-03-30 02:40:24,,no_match_or_ambiguous
46,139,4,INV_4_20330711,2023-07-11 BONOS DEL ESTADO 2033-07-11,2023-07-11,2033-07-11,6.5,,,,,0.797102922772763,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100101330711,matched_2d
47,132,2,INV_2_20201126,2020-07-14 INDUGEM - INDUSTRIAL GEMINIS 2020-11-26,2020-07-14,2020-11-26,8.89,8.89,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_alias
48,130,2,INV_2_20200814,2020-02-20 CARTIMEX S. A. 2020-08-14,2020-02-20,2020-08-14,8.97,8.97,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
49,130,2,INV_2_20200821,2020-03-13 CARTIMEX S. A. 2020-08-21,2020-03-13,2020-08-21,8.58,8.58,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
50,151,5,INV_5_20280509,TELCONET 2028-05-09,2025-05-09,2028-05-09,9.0,,,,,0.994677386023147,1,2026-03-30 02:40:24,2026-03-30 02:40:24,056010100001280509,matched_2d
51,139,4,INV_4_20311204,2024-12-04 BONOS DEL ESTADO 2031-12-04,2024-12-04,2031-12-04,5.64,,,,,0.838244225561341,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100402311204,matched_2d
52,139,4,INV_4_20330806,2025-08-06 BONOS DEL ESTADO 2033-08-06,2025-08-06,2033-08-06,7.72,,,,,0.877757548450061,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100101330806,matched_2d
